,sample,longitude,latitude,lithology,unit,authors,sio2,al2o3,fe2o3,mgo,cao,na2o,k2o,tio2,p2o5,mno,cr2o3,ni_ppm,loi,sum,ba_ppm,be_ppm,co_ppm,cs_ppm,ga_ppm,hf_ppm,nb_ppm,rb_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,u_ppm,v_ppm,w_ppm,zr_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,mo_ppm,cu_ppm,pb_ppm,zn_ppm,cr_ppm,nio,as_ppm,cd_ppm,sb_ppm,bi_ppm,ag_ppm,au_ppm,hg_ppm,tl_ppm,se_ppm,sc_ppm,eu/eu*,lan/ybn,lan/smn,rb/sr,sr/y,age_ma,feot,total,ti_ppm
286,RM-5654,-79.1133,9.242041666666665,Basalt,Santa Cecilia - La Equis Complex,"Salazar et al., 2005",50.79,16.79,10.58,4.69,6.98,2.84,2.13,0.872,0.21,0.22,,33,3.94,100.03,1840.0,1,25.0,4.1,16.0,3.0,2,38,0.5,258.0,0.1,2.3,0.7,320.0,0.5,104.0,26.0,14.6,29.3,4.76,21.5,5.3,1.52,4.5,0.7,4.5,0.9,2.7,0.36,2.2,0.35,1,219,6,96,10,,2.5,,0.3,0.2,0.3,-,,0.2,,34.0,0.96,4.42,1.69,0.14728682170542637,9.923076923076923,47.5,,,
287,DMT-013,-76.3965,7.04081,Basalt,Santa Cecilia - La Equis Complex,This study,57.7,17.75,7.12,3.17,6.6,3.97,0.32,0.47,0.13,0.14,,11,3.05,100.52,261.0,,13.0,0.13,18.6,1.8,1,4.2,1,586.0,<0.1,0.88,0.38,172.0,1,59.0,13.5,9,18.8,2.81,12.8,2.62,0.8,2.77,0.42,2.3,0.5,1.47,0.26,1.44,0.23,1,57,4,74,40,,<0.5,<0.5,,,<0.5,,,<10,,15.0,0.91,4.17,2.11,0.007167235494880546,43.407407407407405,47.5,,,
288,DMT-015,-76.41167,7.04501,Basalt,Santa Cecilia - La Equis Complex,This study,62.3,13.55,7.26,3.84,1.99,3.07,3.06,0.67,0.27,0.11,,5,4.64,100.83,489.0,,14.0,0.36,19.0,4.3,2.9,51.8,1,168.0,0.1,3.43,1.93,149.0,1,153.0,36.3,29,48.8,6.79,30.2,5.92,1.45,6.0,0.93,5.13,1.16,3.75,0.55,3.56,0.51,1,106,12,101,20,,<0.5,<0.5,,,<0.5,,,<10,,16.0,0.75,5.43,3.01,0.3083333333333333,4.62809917355372,47.5,,,
289,DMT-016,-76.41467,7.04536,Basalt,Santa Cecilia - La Equis Complex,This study,67.0,14.45,5.48,1.82,2.17,5.06,2.29,0.67,0.25,0.1,,1,2.57,101.95,621.0,,8.0,0.1,15.4,4.6,5.1,34.1,1,134.5,0.2,4.98,1.31,110.0,2,175.0,28.9,26.4,55.3,7.9,34.3,7.38,1.6,6.42,0.95,4.97,1.07,2.98,0.49,2.96,0.51,1,18,4,62,20,,<0.5,<0.5,,,<0.5,,,<10,,15.0,0.71,5.95,2.2,0.25353159851301116,4.653979238754325,47.5,,,
290,DMT-017,-76.42371,7.05298,Basalt,Santa Cecilia - La Equis Complex,This study,51.4,18.55,8.58,3.08,7.25,4.37,1.11,0.69,0.15,0.12,,11,5.87,101.27,313.0,,21.0,0.32,19.6,2.2,2.1,14.8,1,441.0,0.1,1.71,0.44,319.0,1,74.0,15.1,11.7,23.8,3.44,15.3,3.18,1.01,3.27,0.49,2.65,0.54,1.72,0.27,1.52,0.26,1,329,6,70,30,,<0.5,<0.5,,,<0.5,,,<10,,23.0,0.96,5.13,2.26,0.033560090702947847,29.205298013245034,47.5,,,
291,DMT-018,-76.4259,7.06083,Basalt,Santa Cecilia - La Equis Complex,This study,49.4,17.7,8.94,3.19,6.6,3.86,1.18,0.72,0.18,0.13,,12,8.61,100.64,346.0,,22.0,2.18,18.2,2.2,2,17.5,2,771.0,0.1,1.87,0.54,351.0,2,81.0,16.8,12.6,25.5,3.69,16.0,3.33,1.06,3.85,0.58,3.05,0.66,1.89,0.28,1.96,0.29,<1,62,3,73,30,,<0.5,<0.5,,,<0.5,,,<10,,24.0,0.91,4.29,2.33,0.022697795071335927,45.89285714285714,47.5,,,
292,PAN-06-199,-81.354602052,7.723248423,Basalt Andesite,Sona,"Wegner et al., 2011",52.7,15.61,10.67,5.1,8.15,3.27,0.97,0.43,0.131,0.16,,34,,97.15,314.0,,33.0,0.43,,0.96,0.77,16.53,,401.0,0.04,0.61,0.36,372.0,,35.0,13.0,5.1,10.09,1.62,7.38,1.93,0.62,2.12,0.34,2.12,0.46,1.42,0.2,1.42,0.23,,,,,,,,,,,,,,,,,0.94,2.39,1.63,0.04122194513715711,30.846153846153847,55.5,,,
293,PAN-06-202,-81.320949605,7.877998338,Dacite,Sona,"Wegner et al., 2011",62.9,14.35,7.52,2.75,3.12,6.21,0.5,0.57,0.192,0.16,,8,,98.24,263.0,,13.0,0.02,,2.15,1.7,6.05,,108.0,0.08,1.11,0.42,151.0,,80.0,25.0,8.63,18.09,2.95,13.9,3.67,1.14,3.99,0.65,4.14,0.9,2.73,0.39,2.73,0.43,,,,,,,,,,,,,,,,,0.92,2.11,1.45,0.056018518518518516,4.32,55.5,,,
294,PAN-06-203,-81.320949605,7.877998338,Andesite,Sona,"Wegner et al., 2011",56.6,16.03,8.36,4.63,8.47,3.08,0.4,0.51,0.153,0.14,,25,,98.4,242.0,,22.0,1.08,,1.76,1.58,8.23,,578.0,0.09,1.09,0.46,312.0,,67.0,21.0,5.86,11.43,1.93,8.87,2.44,0.71,2.89,0.48,3.1,0.7,2.19,0.32,2.23,0.35,,,,,,,,,,,,,,,,,0.82,1.75,1.48,0.014238754325259517,27.523809523809526,55.5,,,
295,PAN-06-204,-81.320949605,7.877998338,Basalt Andesite,Sona,"Wegner et al., 2011",54.9,15.81,9.07,5.86,9.15,2.24,0.29,0.38,0.169,0.18,,35,,98.02,195.0,,31.0,0.16,,0.83,0.54,5.32,,349.0,0.03,0.38,0.15,278.0,,32.0,23.0,4.6,7.58,1.41,6.65,1.79,0.61,2.23,0.37,2.55,0.61,1.99,0.29,2.04,0.33,,,,,,,,,,,,,,,,,0.94,1.5,1.58,0.01524355300859599,15.173913043478262,55.5,,,
