,age group,sample,lithology,sio2,tio2,al2o3,fe2o3*,fe2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,h2o+,total,[mg #],fe #,nb_ppm,ta_ppm,zr_ppm,y_ppm,hf_ppm,sr_ppm,rb_ppm,ba_ppm,u_ppm,th_ppm,pb_ppm,ga_ppm,ni_ppm,cr_ppm,v_ppm,co_ppm,sc_ppm,cs_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,longitude,latitude,age
51,Permian-Triassic,C-AM-05-35, granite,75.14,0.21,13.39,1.12,0.71,0.37,0.02,0.26,0.87,4.29,4.18,0.04,0.56,100.02,0.56,0.59,11.5,1.0,116,38.2,4.7,67,130.3,741.7,2.5,16.3,10.7,14,3,2,9,2,3,1.5,26.7,51.0,6.1,26.2,4.8,0.4,6.3,0.9,7.3,1.5,4.7,0.5,4.7,0.6,-75.5,-10.7,254.0
52,Permian-Triassic,C-AM-05-37,alkali feldspar granite,77.95,0.14,12.39,0.93,0.81,0.10,0.02,0.18,0.14,4.36,4.15,0.02,0.28,100.54,0.75,0.37,26.5,2.1,143,15.5,7.4,21,181.2,142.2,3.0,24.8,4.9,20,2,4,3,2,2,1.5,28.9,47.5,4.1,11.5,2.5,0.4,1.7,0.3,2.5,0.5,1.3,0.4,3.8,0.6,-75.6,-10.7,254.0
53,Permian-Triassic,C-AM-05-38, granite,74.98,0.25,13.19,1.65,0.99,0.58,0.10,0.38,0.77,4.18,4.18,0.07,0.50,100.18,0.54,0.61,17.5,1.5,172,19.3,5.5,129,180.0,412.8,2.9,14.6,12.9,18,3,6,13,2,2,1.0,33.4,55.2,6.0,20.0,1.6,0.5,3.0,0.4,2.6,0.7,2.3,0.3,1.7,0.3,-75.6,-10.7,254.0
54,Permian-Triassic,C-AM-05-39,alkali feldspar granite,73.36,0.30,13.69,1.79,1.05,0.65,0.07,0.60,0.59,4.63,4.11,0.08,0.76,99.88,0.62,0.52,22.4,2.0,180,21.3,7.4,100,182.5,405.1,3.9,18.7,11.3,19,3,4,17,2,2,1.7,83.7,104.8,8.4,29.6,4.4,0.7,4.4,0.6,3.9,0.7,2.5,0.3,3.3,0.5,-75.6,-10.7,254.0
55,Permian-Triassic,S-AM-06-08, quartz syenite,74.41,0.25,13.48,1.55,0.73,0.73,0.02,0.34,1.27,3.66,4.69,0.05,0.48,100.11,0.45,0.68,16.1,1.7,141,21.8,4.5,122,146.7,651.1,4.0,19.5,199.5,17,4,6,14,4,3,2.3,40.4,72.7,7.1,23.7,4.2,0.5,3.9,0.6,4.0,0.7,2.1,0.3,2.3,0.3,-72.1,-13.3,254.0
56,Permian-Triassic,SC-AM-05-01, quartz monzonite,62.04,0.97,15.63,6.26,2.95,2.92,0.17,2.54,4.25,4.53,2.39,0.24,1.46,100.08,0.61,0.53,9.0,0.8,195,29.5,6.0,261,85.3,547.4,2.2,10.2,11.7,19,16,35,123,19,18,1.0,27.4,50.3,6.3,27.6,6.1,1.5,6.7,0.9,6.3,1.3,3.8,0.5,3.4,0.6,-74.3,-13.3,254.0
57,Permian-Triassic,SC-AM-05-02, granite,69.84,0.49,14.91,2.94,1.36,1.40,0.06,0.85,2.04,4.09,4.61,0.14,0.80,100.60,0.52,0.62,24.5,2.8,273,29.9,6.7,188,207.9,665.3,5.4,30.9,14.4,20,6,12,35,8,4,6.9,45.7,79.5,8.4,30.9,5.8,1.0,5.2,0.8,4.8,1.1,3.4,0.5,4.1,0.6,-74.0,-13.0,254.0
58,Permian-Triassic,SC-AM-05-03, granite,72.75,0.30,14.27,1.95,0.58,1.22,0.03,0.45,1.11,3.86,4.72,0.08,1.00,100.35,0.40,0.73,19.4,2.6,180,25.2,5.7,139,233.0,604.8,6.0,36.7,19.7,19,3,4,20,5,2,4.3,49.5,85.6,8.9,33.6,6.8,0.8,4.4,0.7,5.2,0.9,3.1,0.5,2.5,0.6,-74.1,-13.0,254.0
59,Permian-Triassic,SC-AM-05-06, granite,75.10,0.18,13.58,1.69,0.45,1.11,0.04,0.28,1.19,3.87,4.33,0.05,0.54,100.72,0.31,0.80,16.0,2.8,107,42.6,4.8,87,257.0,327.5,6.5,35.1,12.2,19,4,6,18,6,2,8.0,32.4,57.4,6.1,24.2,5.3,0.6,6.1,1.1,7.3,1.5,4.7,0.7,6.4,0.8,-74.7,-12.4,254.0
60,Permian-Triassic,SC-AM-05-09, granite,75.31,0.23,13.60,1.56,1.39,0.15,0.04,0.26,0.94,4.76,3.15,0.04,0.33,100.19,0.76,0.36,12.2,1.1,170,64.6,5.8,89,109.4,804.6,2.6,12.8,14.2,16,3,2,13,3,2,1.0,98.0,50.2,30.0,123.0,30.8,5.1,22.3,3.4,18.5,3.4,8.9,1.4,8.6,1.4,-74.2,-13.5,254.0
