,Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Longitude,Latitude
32,PC 1307*,Marschik et al 2003,Hornblende diorite,P,Plutón La Brea,Batolito Copiapó,367600.0,6954900.0,120.0,56.37,1.06,17.0,,,8.08,,8.08,0.11,3.34,7.47,5.07,1.21,0.56,0.5,100.78,100.28,478.0,31,309.0,6,3,,7.0,91.0,6.0,35.0,25.7,58.6,7.9,33.2,8.3,1.73,6.1,,5.2,1.03,2.8,0.36,2.3,0.35,22,41.0,71.0,9,17.0,225.0,,,139,7,,,,,,,,18.0,,,,9,,,-70.34066289402067,-27.52317731726071
33,PC 97004*,Marschik et al 2003,Quartz monzonite,P,Plutón La Brea,Batolito Copiapó,369640.0,6956590.0,120.0,65.04,0.64,15.24,,,4.72,,4.72,0.08,1.15,2.75,3.69,4.92,0.23,0.51,98.97,98.46,282.0,265,648.0,20,11,,10.0,456.0,9.0,23.0,28.5,62.4,7.5,31.0,6.1,1.21,4.2,,4.3,0.84,2.3,0.34,2.0,0.3,4,50.0,13.0,8,159.0,83.0,,,81,10,,,,,,,,20.0,,,,29,,,-70.31982852979614,-27.50812176965756
34,PC 1441*,Marschik et al 2003,Quartz monzonite,P,Plutón La Brea,Batolito Copiapó,370050.0,6958250.0,120.0,64.65,0.67,15.5,,,4.64,,4.64,0.11,1.1,2.85,3.67,5.3,0.26,0.74,99.49,98.75,303.0,239,859.0,39,11,,10.0,476.0,9.0,36.0,26.6,62.5,7.4,30.4,6.2,1.23,4.0,,4.2,0.9,2.3,0.32,2.0,0.3,6,78.0,101.0,4,8.0,86.0,,,38,<3,,,,,,,,15.0,,,,40,,,-70.31550020241917,-27.493178656297978
35,PC 98002,Marschik et al 2003,Granodiorite,P,Plutón La Brea,Batolito Copiapó,372200.0,6962800.0,120.0,66.51,0.39,15.4,,,4.18,,4.18,0.06,1.61,3.21,4.51,2.12,0.11,1.15,99.24,98.09,260.0,49,491.0,9,3,,3.0,115.0,8.0,18.0,,,,,,,,,,,,,,,9,29.0,5.0,4,224.0,55.0,,,23,10,,,,,,,,19.0,,,,20,,,-70.29326041511098,-27.452315846601714
36,PC98012,Marschik et al 2003,Granodiorite,P,Plutón La Brea,Batolito Copiapó,371400.0,6962000.0,120.0,67.99,0.44,14.86,,,3.56,,3.56,0.06,0.99,2.83,3.52,3.94,0.12,0.41,98.7,98.29,265.0,188,716.0,19,10,,6.0,257.0,6.0,18.0,,,,,,,,,,,,,,,5,37.0,8.0,7,214.0,56.0,,,32,5,,,,,,,,19.0,,,,29,,,-70.30143903329393,-27.45946099863747
55,115_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629.0,7182956.0,140.0,56.74,1.66,15.16,9.09,8.179182,,,8.179182,0.16,2.81,5.51,3.5,2.67,0.48,1.32,99.16,97.84,227.0,114,384.0,13.5,3.21,,12.0,359.0,10.21400089,50.19541498,34.40649094,79.91481653,10.43106162,44.56751616,10.26634402,1.959076641,10.34760623,1.542856658,9.507323014,1.922393182,5.520886462,0.79064079,5.118940597,0.7736277,36,190.0,,22,46.0,415.0,,,,,,,,,,,1.118152006,,,,,5.44,,,-70.00838333675712,-25.467007032432573
56,181_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629.0,7182956.0,140.0,51.85,3.21,13.11,13.67,12.300266,,,12.300266,0.24,4.03,7.66,2.68,1.93,0.66,1.29,100.44,99.15,196.0,61.2,250.0,5,1.35,,13.0,368.0,9.428812251,62.6578692,26.97044532,68.03673077,9.771022854,44.67403046,11.43541329,2.878753382,12.36682683,1.921820018,12.07167878,2.498624257,6.987989348,0.999010545,6.48575509,0.982769355,29,139.0,,12,30.0,161.0,,,,,,,,,,,1.679980929,,,,,9.18,,,-70.00838333675712,-25.467007032432573
57,203_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629.0,7182956.0,140.0,58.93,1.58,14.14,9.5,8.5481,,,8.5481,0.17,2.6,4.53,3.49,3.32,0.45,1.18,99.92,98.74,214.0,143,472.0,13.8,3.21,,12.0,361.0,9.980359659,50.33098352,34.28691726,80.27471871,10.4779281,44.66020119,10.17883033,2.060043227,10.27083486,1.574113008,9.500591366,1.918084481,5.542141821,0.80592306,5.114189485,0.772155253,33,101.0,,18,52.0,215.0,,,,,,,,,,,1.597447682,,,,,5.96,,,-70.00838333675712,-25.467007032432573
58,231_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629.0,7182956.0,140.0,56.18,1.48,15.33,9.2,8.27816,,,8.27816,0.17,3.35,6.53,3.16,1.81,0.36,1.3,98.86,97.56,240.0,77.8,298.0,10.2,2.52,,10.0,285.0,7.530580499,41.7526007,25.68569702,60.61392753,8.106662876,35.09642344,8.103929213,1.753731859,8.260760798,1.271547992,7.824097919,1.593170213,4.487437923,0.643823741,4.25692146,0.630768021,24,68.0,,30,50.0,247.0,,,,,,,,,,,1.610796678,,,,,6.07,,,-70.00838333675712,-25.467007032432573
59,233_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629.0,7182956.0,140.0,52.41,1.7,18.57,8.8,7.91824,,,7.91824,0.17,2.7,8.47,3.56,1.59,0.42,1.1,99.59,98.49,312.0,36.5,349.0,6.13,1.67,,8.0,257.0,7.020815473,46.27254887,24.56983471,58.68094519,8.001218404,35.8373442,8.860768042,1.989401163,9.067017595,1.408872123,8.70665034,1.757477233,5.099148439,0.746488657,4.63343308,0.688608355,22,119.0,,25,59.0,230.0,,,,,,,,,,,1.198902761,,,,,6.38,,,-70.00838333675712,-25.467007032432573
60,234_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629.0,7182956.0,140.0,56.58,1.54,14.94,9.37,8.431126,,,8.431126,0.16,3.34,6.26,3.53,2.12,0.41,1.31,99.6,98.29,230.0,84.1,372.0,11.9,2.89,,10.0,329.0,8.680679302,43.43965364,29.49836446,68.83921234,9.088904305,38.09572638,8.943822254,1.750361322,8.811279265,1.367643069,8.208912962,1.682987985,4.814543308,0.670868481,4.42546428,0.668320861,,212.0,12.0,49,11.0,65.0,,,13,,,19.0,,72.0,15.0,,1.37,,,,,,,,-70.00838333675712,-25.467007032432573
61,CB120_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398281.0,7345377.0,140.0,67.74,0.37,17.4,2.9,2.60942,,,2.60942,0.03,1.38,3.96,4.26,0.8,0.119,1.38,100.339,98.959,318.0,14,239.0,1.3,0.39,,2.0,99.0,2.829928946,11.0,7.382872898,15.89698638,2.015091196,7.692913232,1.534746176,0.55925545,1.463389698,0.198817906,1.120588663,0.209928264,0.575783195,0.080326962,0.579138968,0.091605643,26,72.0,,159,289.0,205.0,,,,,,,,,,,0.091520737,,,,,3.56,,,-70.00004617829835,-24.00031946673891
