Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl
C7B-095,Girardi 2014,Grd,P,Intrusivos,Punta del Cobre,,,96.6,68.61,0.35,15.85,,,2,0.6,0.6,0.06,1.03,3.33,3.68,1.75,0.12,1.55,98.92,97.37,458,35,461,2.32,0.59,0.52,6.3,90,2.1,11.3,12.5,25.3,3.08,11.9,2.41,0.76,1.88,0.32,1.74,0.36,1.02,0.17,1.16,0.22,,,,,,,,,,,,,,,,,,,,,,,,
C6B-163,Girardi 2014,Gr,P,Plutón Ojancos Viejos - Jesús María,Batolito Copiapó,,,99.3,74.29,0.13,12.7,,,1.77,,1.77,0.03,0.35,1.74,2.83,4.33,0.02,0.41,98.6,98.19,193,82,588,12.2,2.86,1.01,5.7,70,2.1,15.4,16,29.7,3.07,10.7,2.27,0.44,2.03,0.36,2.12,0.45,1.42,0.25,1.95,0.34,,,,,,,,,,,,,,,,,,,,,,,,
PC 855*,Marschik et al 2003,Diorite–gabbro,P,Laccolith,Batolito Copiapó,376145,6960666,101,51.11,0.78,14.63,,,8.48,,8.48,0.97,8.09,9.39,2.52,1.76,0.24,2.11,100.07,97.96,488,53,1082,3,3,,9,96,6,19,17.4,41.9,5.6,23.4,5.7,1.56,3.3,,2.7,0.51,1.1,0.13,0.7,0.09,45,305,35,111,443,175,,,11,11,,,,,,,,16,,,,26,,
PC 856,Marschik et al 2003,Diorite–gabbro,P,Laccolith,Batolito Copiapó,376131,6960555,101,49.28,0.85,14.04,,,8.35,,8.35,0.18,11.2,8.79,1.96,0.89,0.22,2.7,98.46,95.76,416,38,182,8,<2,,5,71,21,28,,,,,,,,,,,,,,,45,115,45,185,653,168,,,13,<3,,,,,,,,21,,,,27,,
C8K-187,Girardi 2014,Dio,P,Plutón Sierras Pajas Blancas,Batolito Copiapó,,,101.4,51.34,1.04,16.34,,,9.78,,9.78,0.13,5.86,8.59,2.94,1.43,0.13,2.39,99.97,97.58,480,70,242,6.6,1.4,<1,,98,3,24,25.9,48,,22,5.7,1.9,,<0.5,,,,,2.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,
CaB-246,Girardi 2014,Gab,P,Diorita Sierra Atacama,Sierra Atacama,,,101.7,47.88,0.87,19.96,,,8.95,,8.95,0.1,4.73,11.58,3.26,0.34,0.03,1.01,98.71,97.7,445,2,73,0.42,0.23,0.03,0.5,13,0.3,11.4,4.51,11.4,1.61,6.98,1.81,0.84,1.96,0.35,2.1,0.44,1.29,0.19,1.29,0.21,,,,,,,,,,,,,,,,,,,,,,,,
C9G-170,Girardi 2014,Ton,P,Plutón Sierras Pajas Blancas,Batolito Copiapó,,,105.9,64.63,0.41,15.45,,,2.06,1.8,1.8,0.08,1.92,4.78,3.47,2.56,0.11,0.95,98.21,97.26,472,62,442,6.23,2.2,0.46,4.1,126,3.1,12.4,16.6,33.8,3.88,14.3,2.9,0.41,2.38,0.35,2.03,0.4,1.19,0.18,1.29,0.22,,,,,,,,,,,,,,,,,,,,,,,,
C9G-166b,Girardi 2014,Qdi,P,,,,,106,57.7,0.65,18.01,,,7.07,,7.07,0.13,3.2,7.48,3.73,1.22,0.18,0.16,99.54,99.38,634,17,278,1.93,0.63,0.22,3.3,105,2.4,15.8,12.9,27.6,3.4,14.2,3.36,1.04,2.86,0.47,2.64,0.53,1.52,0.23,1.6,0.27,,,,,,,,,,,,,,,,,,,,,,,,
CaB-171a,Girardi 2014,Ton,P,Plutón Sierras Pajas Blancas,Batolito Copiapó,,,106.8,66.1,0.36,15.69,,,2.19,1.78,1.78,0.07,1.56,4.39,3.7,2.33,0.17,0.78,99.11,98.33,443,47,635,4.91,1.44,0.64,6.2,150,3.5,14.2,22.7,44.1,4.88,17.6,3.14,0.3,2.44,0.36,2.12,0.41,1.29,0.21,1.54,0.26,,,,,,,,,,,,,,,,,,,,,,,,
PC 1310*,Marschik et al 2003,Diorite,P,Granodiorita Los Lirios,Batolito Copiapó,365420,6947980,110,59.9,0.52,18.23,,,3.69,,3.69,0.14,3.18,8.43,4.24,1.05,0.17,1.08,100.63,99.55,692,21,583,1,<2,,2,79,6,26,15.5,34.5,4.3,21.4,5.2,1.24,4.3,,4,0.74,1.9,0.26,1.6,0.24,16,34,43,2,10,80,,,49,3,,,,,,,,16,,,,23,,
PC 97007*,Marschik et al 2003,Hornblende diorite,P,Granodiorita Los Lirios,Batolito Copiapó,365360,6948220,110,55.36,0.56,18.79,,,7.65,,7.65,0.12,2.93,7.08,4.51,1.16,0.22,0.98,99.36,98.38,711,33,426,3,<2,,0.5,90,7,21,14.4,31.4,4.3,17.8,4.6,1.33,3.1,,3.3,0.71,2,0.3,1.7,0.25,16,38,19,4,98,164,,,34,<3,,,,,,,,19,,,,17,,
PC 97008*,Marschik et al 2003,Hornblende diorite,P,Granodiorita Los Lirios,Batolito Copiapó,365372,6948218,110,56.95,0.52,18.09,,,7.17,,7.17,0.1,2.87,7.08,4.29,1.02,0.2,1.04,99.33,98.29,663,30,322,<2,<2,,0.5,52,8,21,13.8,30.5,4.1,17,4.4,1.21,3.3,,3.3,0.7,1.8,0.28,1.8,0.26,16,40,21,5,127,164,,,38,<3,,,,,,,,18,,,,20,,
PC 1371*,Marschik et al 2003,,P,Granodiorita Los Lirios,Batolito Copiapó,364550,6953700,110,65.38,0.39,16.68,,,4.34,,4.34,0.09,1.7,4.96,3.98,2.04,0.14,0.49,100.18,99.69,546,41,748,2,<2,,0.5,76,7,20,12.9,29.5,3.5,15.3,3.1,0.92,2.3,,2.3,0.49,1.4,0.21,1.3,0.2,8,27,72,<2,22,74,,,16,5,,,,,,,,17,,,,14,,
PC 97009*,Marschik et al 2003,Tonalite,P,Granodiorita Los Lirios,Batolito Copiapó,364520,6953320,110,62.96,0.41,17.04,,,5.03,,5.03,0.09,1.81,5.33,4.13,1.74,0.16,0.53,99.23,98.7,542,43,608,<2,<2,,0.5,94,7,18,12.4,26.5,",1.0",13.6,3.4,0.97,2.5,,2.5,0.52,1.5,0.24,1.4,0.22,10,30,11,5,194,90,,,16,<3,,,,,,,,18,,,,23,,
PC 1377,Marschik et al 2003,Tonalite,P,Granodiorita Los Lirios,Batolito Copiapó,366440,6947420,110,60.51,0.44,17.87,,,6.16,,6.16,0.11,2.19,5.5,3.87,2.08,0.22,1.12,100.06,98.94,687,45,756,2,<2,,1,107,6,22,,,,,,,,,,,,,,,14,55,45,<2,14,101,,,38,1,,,,,,,,18,,,,14,,
PC 1334*,Marschik et al 2003,Aplite,P,Dike,Batolito Copiapó,372420,6960820,110,76.41,0.22,12.79,,,1.21,,1.21,0.01,0.27,0.2,2.91,6.05,0.04,0.42,100.53,100.11,61,208,502,44,12,,14,141,5,36,24.6,52.6,5.9,22.3,4.9,0.52,3.9,,5.5,1.21,3.4,0.52,3.6,0.52,2,39,162,3,17,20,,,20,<3,,,,,,,,13,,,,32,,
PC 1509,Marschik et al 2003,Aplite,P,Dike,Batolito Copiapó,371190,6958100,110,71.85,0.31,13.19,,,2.3,,2.3,0.01,0.36,0.86,2.5,6.26,0.05,1.17,98.86,97.69,75,285,588,62,17,,13,260,6,23,,,,,,,,,,,,,,,<2,14,3,6,254,32,,,44,<3,,,,,,,,20,,,,25,,
C9G-074,Girardi 2014,Qdi,P,Plutón La Borracha,La Borracha,,,111,63.21,1.04,15.12,,,5.87,,5.87,0.1,1.98,4.02,3.55,3.97,0.27,0.6,99.73,99.13,251,127,770,16.8,4.73,1.07,11.8,425,9.3,32.8,33.4,73.5,9.55,37.8,8.07,1.43,6.98,1.08,6.08,1.18,3.46,0.51,3.49,0.54,,,,,,,,,,,,,,,,,,,,,,,,
PC 1302,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,372400,6958900,111,61.07,0.88,16.78,,,6.27,,6.27,0.13,1.86,3.82,4.22,4.61,0.38,0.58,100.6,100.02,360,146,828,10,4,,13,568,12,29,,,,,,,,,,,,,,,8,54,65,5,15,138,,,105,8,,,,,,,,16,,,,13,,
PC 1306*,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,371380,6958260,111,60.7,0.83,16,,,7,,7,0.13,2.44,4.86,3.6,3.21,0.37,1.16,100.3,99.14,312,138,443,18,8,,15,437,8,51,26,79.8,9.8,43.1,11.1,1.44,8.2,,8.3,1.64,4.5,0.64,4,0.55,14,39,97,6,12,168,,,40,10,,,,,,,,17,,,,68,,
PC 97002*,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,370375,6960850,111,61,0.78,16.04,,,6.33,,6.33,0.11,2.1,4.58,3.68,3.64,0.27,0.43,98.97,98.54,376,144,647,8,8,,9,313,6,31,26.4,61.2,7.2,32.6,7.1,1.33,5.4,,5.2,1.05,2.9,0.4,2.7,0.4,8,65,17,8,143,123,,,99,9,,,,,,,,21,,,,29,,
PC 97003*,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,371335,6958470,111,58.39,0.6,19.64,,,4.67,,4.67,0.08,1.21,5.92,4.35,3.21,0.34,0.36,98.76,98.4,546,120,737,6,5,,3,225,5,27,26.5,58.7,6.5,31.1,6.8,2.03,4.7,,4.7,0.97,2.6,0.36,2.1,0.31,8,51,12,5,125,80,,,144,3,,,,,,,,21,,,,21,,
PC 98011,Marschik et al 2003,Monzodiorite,P,Monzodiorita San Gregorio,Batolito Copiapó,372200,6962720,111,60.18,0.82,15.29,,,6.71,,6.71,0.15,2.79,4.48,3.64,3.72,0.27,1.15,99.19,98.04,322,129,660,8,4,,10,304,5,24,,,,,,,,,,,,,,,14,62,65,15,26,159,,,83,<3,,,,,,,,16,,,,12,,
C3B-358/375,Girardi 2014,Mzd,P,Plutón Ojancos Viejos,Batolito Copiapó,,,115.9,63.54,0.67,15.07,,,1.27,3.71,3.71,0.11,1.79,3.95,3.84,3.56,0.17,0.53,98.2,97.67,377,132,549,13.8,2.47,0.67,8.4,314,7,22.9,23.4,50.1,6.13,24.2,5.09,1.12,4.12,0.66,3.73,0.72,2.17,0.33,2.27,0.39,,,,,,,,,,,,,,,,,,,,,,,,
C9G-210,Girardi 2014,Dio,P,Diorita Sierra Atacama,Sierra Atacama,,,116.5,54.09,1.2,14.9,,,10.48,,10.48,0.19,4.21,7.13,3.22,2.38,0.49,0.32,98.61,98.29,419,78,485,8.41,2.98,0.59,8,272,6.1,35.6,29.8,67.9,9.4,38.8,8.87,1.66,7.67,1.2,6.59,1.3,3.8,0.56,3.74,0.59,,,,,,,,,,,,,,,,,,,,,,,,
C8B-013a,Girardi 2014,Mzd,P,Plutón Jesús María,Batolito Copiapó,,,116.7,52.26,1.01,17.25,,,9.84,,9.84,0.18,4.3,9.27,3.25,0.96,0.2,0.98,99.49,98.51,637,26,322,4.18,0.97,0.19,2.9,107,2.4,19.8,13.3,29.9,3.93,17.4,4.18,1.42,3.66,0.58,3.26,0.66,1.9,0.29,1.91,0.33,,,,,,,,,,,,,,,,,,,,,,,,
C8B-021,Girardi 2014,Dio,P,Plutón La Brea,Batolito Copiapó,,,119.5,52.81,0.91,17.76,,,8.99,,8.99,0.15,3.94,8.08,3.81,1.72,0.26,0.81,99.24,98.43,552,36,374,3.46,1.03,0.35,4.7,136,2.9,22.2,15.8,35.6,4.5,19.4,4.55,1.34,4.16,0.64,3.63,0.71,2.06,0.31,2.11,0.35,,,,,,,,,,,,,,,,,,,,,,,,
PC 97001*,Marschik et al 2003,Pyroxene diorite,P,Plutón La Brea,Batolito Copiapó,372536,6960819,120,53.83,1,18.48,,,8.27,,8.27,0.15,2.84,7.68,3.96,2.37,0.55,0.03,99.16,99.13,689,68,721,<2,7,,2,99,1,29,24.8,59.7,7.3,34.2,7.5,1.82,5.3,,5,0.96,2.6,0.36,2.1,0.32,14,98,20,8,97,223,,,221,<3,,,,,,,,19,,,,24,,
PC 1443*,Marschik et al 2003,Pyroxene diorite,P,Plutón La Brea,Batolito Copiapó,370300,6958330,120,57.47,0.82,16.41,,,7.44,,7.44,0.17,3.43,6.43,3.82,3.05,0.24,0.46,99.74,99.28,487,134,501,19,4,,3,267,7,30,19.7,47.9,5.6,22.7,4.8,1.26,3.3,,3.8,0.74,1.8,0.26,1.6,0.24,14,180,56,14,46,200,,,125,<3,,,,,,,,18,,,,39,,
PC 1498*,Marschik et al 2003,Pyroxene diorite,P,Plutón La Brea,Batolito Copiapó,370000,6958250,120,57.42,0.75,17.9,,,5.86,,5.86,0.13,2.36,6.66,3.96,2.62,0.3,0.74,98.7,97.96,644,114,529,5,5,,5,155,5,13,22.7,54.2,6.9,27.7,6.3,1.45,4.2,,4,0.82,2.2,0.31,1.9,0.28,11,63,60,8,17,157,,,62,<3,,,,,,,,17,,,,13,,
PC 97010*,Marschik et al 2003,Pyroxene diorite,P,Plutón La Brea,Batolito Copiapó,367010,6962166,120,57.18,0.82,16.38,,,7.97,,7.97,0.13,3.13,6.21,3.45,2.77,0.28,0.61,98.93,98.32,430,118,443,14,6,,6,201,5,31,23.5,54.2,6.5,29.7,6.4,1.42,5,,5,1.03,2.9,0.4,2.6,0.38,17,72,23,8,149,195,,,104,<3,,,,,,,,19,,,,26,,
PC 97006*,Marschik et al 2003,Hornblende diorite,P,Plutón La Brea,Batolito Copiapó,366700,6953860,120,55.78,0.97,18.23,,,7.33,,7.33,0.08,2.38,6.68,4.61,2.28,0.46,0.4,99.2,98.8,570,52,655,12,<2,,6,107,5,35,29.9,67,7.5,36,8.1,1.97,6,,5.9,1.23,3.1,0.43,2.7,0.41,16,36,16,7,120,179,,,62,<3,,,,,,,,20,,,,15,,
PC 1307*,Marschik et al 2003,Hornblende diorite,P,Plutón La Brea,Batolito Copiapó,367600,6954900,120,56.37,1.06,17,,,8.08,,8.08,0.11,3.34,7.47,5.07,1.21,0.56,0.5,100.78,100.28,478,31,309,6,3,,7,91,6,35,25.7,58.6,7.9,33.2,8.3,1.73,6.1,,5.2,1.03,2.8,0.36,2.3,0.35,22,41,71,9,17,225,,,139,7,,,,,,,,18,,,,9,,
PC 97004*,Marschik et al 2003,Quartz monzonite,P,Plutón La Brea,Batolito Copiapó,369640,6956590,120,65.04,0.64,15.24,,,4.72,,4.72,0.08,1.15,2.75,3.69,4.92,0.23,0.51,98.97,98.46,282,265,648,20,11,,10,456,9,23,28.5,62.4,7.5,31,6.1,1.21,4.2,,4.3,0.84,2.3,0.34,2,0.3,4,50,13,8,159,83,,,81,10,,,,,,,,20,,,,29,,
PC 1441*,Marschik et al 2003,Quartz monzonite,P,Plutón La Brea,Batolito Copiapó,370050,6958250,120,64.65,0.67,15.5,,,4.64,,4.64,0.11,1.1,2.85,3.67,5.3,0.26,0.74,99.49,98.75,303,239,859,39,11,,10,476,9,36,26.6,62.5,7.4,30.4,6.2,1.23,4,,4.2,0.9,2.3,0.32,2,0.3,6,78,101,4,8,86,,,38,<3,,,,,,,,15,,,,40,,
PC 98002,Marschik et al 2003,Granodiorite,P,Plutón La Brea,Batolito Copiapó,372200,6962800,120,66.51,0.39,15.4,,,4.18,,4.18,0.06,1.61,3.21,4.51,2.12,0.11,1.15,99.24,98.09,260,49,491,9,3,,3,115,8,18,,,,,,,,,,,,,,,9,29,5,4,224,55,,,23,10,,,,,,,,19,,,,20,,
PC98012,Marschik et al 2003,Granodiorite,P,Plutón La Brea,Batolito Copiapó,371400,6962000,120,67.99,0.44,14.86,,,3.56,,3.56,0.06,0.99,2.83,3.52,3.94,0.12,0.41,98.7,98.29,265,188,716,19,10,,6,257,6,18,,,,,,,,,,,,,,,5,37,8,7,214,56,,,32,5,,,,,,,,19,,,,29,,
CaB-296,Girardi 2014,Gr,P,Diorita Cuarcífera Sierra Chicharra,Sierra Chicharra,,,127.3,74.01,0.24,12.75,,,1.06,0.82,0.82,0.03,0.39,1.6,3.02,4.49,0.02,0.31,98.73,98.42,92,194,360,37,4.86,0.54,4,174,5.2,26.1,21.6,46.7,5.24,18.9,3.99,0.15,3.62,0.62,3.85,0.77,2.47,0.39,2.82,0.45,,,,,,,,,,,,,,,,,,,,,,,,
C8B-081,Girardi 2014,Dio,P,Pórfido Diorítico,Batolito Copiapó,,,128.4,54.82,0.79,16.4,,,7.62,,7.62,0.09,5.53,7.87,4.67,0.97,0.14,1.51,100.41,98.9,371,<20,119,5.2,1.4,2,,115,3.1,51,12.9,35,,21,7.6,1.4,,0.9,,,,,5.9,0.79,,,,,,,,,,,,,,,,,,,,,,,,
C9G-128a,Girardi 2014,Dio,P,Diorita Cuarcífera Sierra Chicharra,Sierra Chicharra,,,128.5,60.75,0.75,16.42,,,6.21,,6.21,0.1,2.13,5.54,3.79,1.85,0.14,1.06,98.74,97.68,256,62,222,5.01,1.67,0.4,4.9,187,4.4,30.1,15.2,35.3,4.63,19.3,4.86,1.03,4.95,0.85,5.13,1.06,3.12,0.49,3.15,0.49,,,,,,,,,,,,,,,,,,,,,,,,
C9G-140,Girardi 2014,Qdi,P,Diorita Cuarcífera Sierra Chicharra,Sierra Chicharra,,,130.1,56.69,0.72,16.47,,,1.93,5.54,5.54,0.14,3.45,7.4,3.67,0.88,0.11,0.76,97.76,97,293,22,204,2.81,0.63,0.27,3.1,141,3.2,22.9,9.82,22,2.82,12,3.03,1,3.41,0.57,3.58,0.75,2.26,0.36,2.45,0.39,,,,,,,,,,,,,,,,,,,,,,,,
C9G-108c,Girardi 2014,Ton,P,Diorita Cuarcífera Sierra Chicharra,Sierra Chicharra,,,130.7,65.37,0.68,15.63,,,5.13,,5.13,0.06,1.86,4.41,3.87,2.38,0.11,0.63,100.13,99.5,267,54,384,9.51,2.14,0.52,6,281,6.4,35.6,16.7,40.2,5.58,23.3,5.91,1.15,5.88,1.04,6.11,1.25,3.68,0.57,3.7,0.55,,,,,,,,,,,,,,,,,,,,,,,,
CaB-222a,Girardi 2014,Qdi,P,,,,,131,61.84,0.72,15.94,,,6.13,,6.13,0.11,2.67,5.56,3.94,1.49,0.12,0.58,99.1,98.52,252,60,274,4.9,<0.5,<1,,179,4.8,27,15.8,36,,16,4.5,1.3,,0.6,,,,,3.9,0.56,,,,,,,,,,,,,,,,,,,,,,,,
CaB-211b,Girardi 2014,Gab,P,Diorita Cuarcífera Sierra Chicharra,Sierra Chicharra,,,134.5,54.78,0.92,17.89,,,6.9,,6.9,0.09,3.66,8.19,4.67,0.86,0.13,0.79,98.88,98.09,359,9,192,2.38,0.36,0.21,3.1,93,2.1,22.7,7.44,17,2.37,10.6,3.06,0.98,3.54,0.65,3.83,0.81,2.39,0.38,2.45,0.37,,,,,,,,,,,,,,,,,,,,,,,,
C9G-320,Girardi 2014,Ton,P,Plutón Cerro Moradito,Moradito,,,136.6,58.36,0.75,16.47,,,6.96,,6.96,0.09,3.52,6.4,3.48,1.41,0.13,1.43,99,97.57,395,48,258,2.51,0.56,0.24,3.2,175,4.1,24.9,13.4,30.7,4.15,17.5,4.3,0.96,4.38,0.74,4.29,0.88,2.56,0.4,2.66,0.4,,,,,,,,,,,,,,,,,,,,,,,,
C9G-514b,Girardi 2014,Ton,P,Plutón Cerro Moradito,Moradito,,,137,58.81,0.73,16.98,,,6.69,,6.69,0.07,2.99,6.51,3.66,1.51,0.13,0.76,98.84,98.08,403,46,293,3.93,0.97,0.28,3.4,142,3.2,16,14.4,29.7,3.74,14.9,3.17,1.05,2.95,0.5,2.77,0.57,1.68,0.27,1.83,0.29,,,,,,,,,,,,,,,,,,,,,,,,
C9G-329a,Girardi 2014,Gab,P,,,,,137,46.72,0.46,22.08,,,9.93,,9.93,0.18,7.68,12.09,1.19,0.09,0.01,0.17,100.6,100.43,576,2,42,0.12,0.05,<0.01,0.3,5,0.1,3.3,1.21,2.08,0.3,1.36,0.39,0.32,0.49,0.09,0.52,0.11,0.3,0.05,0.34,0.06,,,,,,,,,,,,,,,,,,,,,,,,
CaB-004b,Girardi 2014,Ton,P,Plutón Cerro Morado,Cerro Morado,,,137.1,66.07,0.4,15.79,,,1.46,2.11,2.11,0.07,1.59,4.53,3.73,1.98,0.09,0.53,98.36,97.83,340,69,416,4.87,0.86,0.36,3.7,153,3.5,15.9,13.5,28.9,3.32,12.7,2.68,0.42,2.55,0.41,2.42,0.48,1.45,0.23,1.62,0.25,,,,,,,,,,,,,,,,,,,,,,,,
CaB-295,Girardi 2014,Dio,P,Plutón Cerro Morado,Cerro Morado,,,137.5,60.65,0.66,16.82,,,6.07,,6.07,0.11,3,6.02,3.54,1.93,0.13,0.86,99.79,98.93,365,57,351,5.18,0.98,0.32,3.4,196,4.4,23.5,15.3,34.9,4.67,19.3,4.51,1.07,4.31,0.73,4.12,0.83,2.47,0.38,2.53,0.39,,,,,,,,,,,,,,,,,,,,,,,,
CaB-069a,Girardi 2014,Grd,P,Plutón Cerro Morado,Cerro Morado,,,138,61.45,0.64,16.01,,,6.12,,6.12,0.09,3.07,5.94,3.53,1.97,0.12,0.49,99.42,98.93,355,58,338,4.5,0.82,0.29,3.4,121,3,22,13.3,30.2,3.8,15.8,3.75,0.91,3.56,0.6,3.51,0.71,2.08,0.32,2.17,0.36,,,,,,,,,,,,,,,,,,,,,,,,
CaB-069b,Girardi 2014,Grd,P,Plutón Cerro Morado,Cerro Morado,,,138,62.89,0.64,16.61,,,2.92,,2.92,0.07,2.95,7.53,4.08,0.45,0.11,0.86,99.11,98.25,438,12,91,6.59,1.3,0.33,3.2,149,3.4,23.3,9.65,24.3,3.38,15.2,4.06,1.02,3.78,0.64,3.66,0.72,2.15,0.34,2.35,0.39,,,,,,,,,,,,,,,,,,,,,,,,
CaB-070a,Girardi 2014,Gr,P,Plutón Cerro Morado,Cerro Morado,,,138,74.85,0.18,12.93,,,1.69,,1.69,0.04,0.38,1.56,3.57,4,0.04,0.25,99.49,99.24,149,135,514,12,1.75,0.61,4.3,121,3.2,13.7,16.4,31.5,3.28,11,2.1,0.41,1.78,0.32,1.9,0.39,1.22,0.21,1.46,0.25,,,,,,,,,,,,,,,,,,,,,,,,
CaB-070b,Girardi 2014,Gr,P,Plutón Cerro Morado,Cerro Morado,,,138,79.07,0.07,11.85,,,0.23,,0.23,0.01,0.22,2.38,4.39,0.34,0.04,0.94,99.54,98.6,342,10,91,7.77,0.71,0.66,4.5,59,1.7,7.2,1.47,3.07,0.41,1.81,0.6,0.1,0.67,0.15,0.9,0.2,0.62,0.1,0.74,0.13,,,,,,,,,,,,,,,,,,,,,,,,
CaB-054,Girardi 2014,Dio,P,Plutón Cerro Morado,Cerro Morado,,,140,55.28,0.87,17.57,,,7.29,,7.29,0.11,4.39,7.69,3.34,1,0.18,0.96,98.68,97.72,444,<20,195,3.5,<0.5,2,,86,2.4,15,12.9,28,,12,3.4,1.3,,<0.5,,,,,2,0.32,,,,,,,,,,,,,,,,,,,,,,,,
CaB-057,Girardi 2014,Qdi,P,Plutón Cerro Morado,Cerro Morado,,,140,66.99,0.61,14.93,,,4.35,,4.35,0.09,1.29,2.55,3.05,4.28,0.16,0.51,98.81,98.3,177,160,1060,15.1,2.3,4,204,6.3,22,8.05,39.9,74,,35,6.2,1.6,,<0.5,,,,,2.7,0.39,,,,,,,,,,,,,,,,,,,,,,,,
115_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629,7182956,140,56.74,1.66,15.16,9.09,8.179182,,,8.179182,0.16,2.81,5.51,3.5,2.67,0.48,1.32,99.16,97.84,227,114,384,13.5,3.21,,12,359,10.21400089,50.19541498,34.40649094,79.91481653,10.43106162,44.56751616,10.26634402,1.959076641,10.34760623,1.542856658,9.507323014,1.922393182,5.520886462,0.79064079,5.118940597,0.7736277,36,190,,22,46,415,,,,,,,,,,,1.118152006,,,,,5.44,,
181_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629,7182956,140,51.85,3.21,13.11,13.67,12.300266,,,12.300266,0.24,4.03,7.66,2.68,1.93,0.66,1.29,100.44,99.15,196,61.2,250,5,1.35,,13,368,9.428812251,62.6578692,26.97044532,68.03673077,9.771022854,44.67403046,11.43541329,2.878753382,12.36682683,1.921820018,12.07167878,2.498624257,6.987989348,0.999010545,6.48575509,0.982769355,29,139,,12,30,161,,,,,,,,,,,1.679980929,,,,,9.18,,
203_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629,7182956,140,58.93,1.58,14.14,9.5,8.5481,,,8.5481,0.17,2.6,4.53,3.49,3.32,0.45,1.18,99.92,98.74,214,143,472,13.8,3.21,,12,361,9.980359659,50.33098352,34.28691726,80.27471871,10.4779281,44.66020119,10.17883033,2.060043227,10.27083486,1.574113008,9.500591366,1.918084481,5.542141821,0.80592306,5.114189485,0.772155253,33,101,,18,52,215,,,,,,,,,,,1.597447682,,,,,5.96,,
231_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629,7182956,140,56.18,1.48,15.33,9.2,8.27816,,,8.27816,0.17,3.35,6.53,3.16,1.81,0.36,1.3,98.86,97.56,240,77.8,298,10.2,2.52,,10,285,7.530580499,41.7526007,25.68569702,60.61392753,8.106662876,35.09642344,8.103929213,1.753731859,8.260760798,1.271547992,7.824097919,1.593170213,4.487437923,0.643823741,4.25692146,0.630768021,24,68,,30,50,247,,,,,,,,,,,1.610796678,,,,,6.07,,
233_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629,7182956,140,52.41,1.7,18.57,8.8,7.91824,,,7.91824,0.17,2.7,8.47,3.56,1.59,0.42,1.1,99.59,98.49,312,36.5,349,6.13,1.67,,8,257,7.020815473,46.27254887,24.56983471,58.68094519,8.001218404,35.8373442,8.860768042,1.989401163,9.067017595,1.408872123,8.70665034,1.757477233,5.099148439,0.746488657,4.63343308,0.688608355,22,119,,25,59,230,,,,,,,,,,,1.198902761,,,,,6.38,,
234_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398629,7182956,140,56.58,1.54,14.94,9.37,8.431126,,,8.431126,0.16,3.34,6.26,3.53,2.12,0.41,1.31,99.6,98.29,230,84.1,372,11.9,2.89,,10,329,8.680679302,43.43965364,29.49836446,68.83921234,9.088904305,38.09572638,8.943822254,1.750361322,8.811279265,1.367643069,8.208912962,1.682987985,4.814543308,0.670868481,4.42546428,0.668320861,,212,12,49,11,65,,,13,,,19,,72,15,,1.37,,,,,,,
CB120_diq,Lucassen et al 2006,,P,DS Coastal Batholith,,398281,7345377,140,67.74,0.37,17.4,2.9,2.60942,,,2.60942,0.03,1.38,3.96,4.26,0.8,0.119,1.38,100.339,98.959,318,14,239,1.3,0.39,,2,99,2.829928946,11,7.382872898,15.89698638,2.015091196,7.692913232,1.534746176,0.55925545,1.463389698,0.198817906,1.120588663,0.209928264,0.575783195,0.080326962,0.579138968,0.091605643,26,72,,159,289,205,,,,,,,,,,,0.091520737,,,,,3.56,,
