,reference,sample,stratigraphic unit,lithology,trace element (ppm),cs_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,nb_ppm,ta_ppm,la_ppm,ce_ppm,pb_ppm,pr_ppm,sr_ppm,nd_ppm,zr_ppm,hf_ppm,sm_ppm,eu_ppm,ti_ppm,tb_ppm,y_ppm,tm_ppm,yb_ppm,gd_ppm,dy_ppm,ho_ppm,er_ppm,lu_ppm,major oxide (wt%),sio2,p2o5,tio2,al2o3,cao,na2o,k2o,fe2o3,feo,fe2o3t,feot,mno,mgo,"isotopic data (nd, sr and pb)",εnd,143nd/144ndi,206pb/204pbi,207pb/204pbi,208pb/204pbi,87sr/86sri,co_ppm,age,longitude,latitude
32,Litherland et al. (1994): Ecuador,SH16D,Tres Lagunas,Granitoid,,,153,641,14,,12,,18,44,22,,116,,188,,,,3536.1585174982783,,38,,,,,,,,,71.09,0.17,0.59,13.56,1.82,2.59,3.56,0.86,2.7,,,0.1,1.2,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
33,Litherland et al. (1994): Ecuador,Sh14A,Tres Lagunas,Granitoid,,,196,535,15,,13,,12,64,21,,95,,185,,,,3296.418956989921,,41,,,,,,,,,71.88,0.18,0.55,13.55,1.65,2.53,4.05,0.76,2.57,,,0.08,1.03,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
34,Litherland et al. (1994): Ecuador,SH14B,Tres Lagunas,Granitoid,,,181,775,13,,13,,18,58,24,,109,,169,,,,3296.418956989921,,40,,,,,,,,,70.89,0.18,0.55,14.28,1.73,2.85,4.17,0.91,2.38,,,0.07,1.04,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
35,Litherland et al. (1994): Ecuador,Sh14D,Tres Lagunas,Granitoid,,,189,659,12,,12,,18,56,27,,104,,177,,,,3176.5491767357416,,40,,,,,,,,,72.74,0.19,0.53,13.3,1.47,2.49,4.44,0.45,2.62,,,0.07,0.96,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
36,Litherland et al. (1994): Ecuador,Sh14G,Tres Lagunas,Granitoid,,,192,756,10,,10,,15,38,26,,98,,155,,,,2697.070055719026,,34,,,,,,,,,73.16,0.19,0.45,13.44,1.41,2.55,4.53,0.5,2.2,,,0.06,0.79,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
37,Litherland et al. (1994): Ecuador,SH14H,Tres Lagunas,Granitoid,,,206,481,14,,13,,15,54,23,,86,,179,,,,3116.6142866086525,,40,,,,,,,,,71.4,0.2,0.52,13.87,1.54,2.66,4.17,0.74,2.53,,,0.07,1.01,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
38,Litherland et al. (1994): Ecuador,SH14I,Tres Lagunas,Granitoid,,,181,809,16,,12,,12,59,26,,105,,178,,,,3176.5491767357416,,38,,,,,,,,,71.18,0.19,0.53,13.68,1.59,2.49,4.33,0.79,2.48,,,0.07,1.04,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
39,Litherland et al. (1994): Ecuador,SH14J,Tres Lagunas,Granitoid,,,176,874,16,,12,,21,49,28,,111,,184,,,,3236.4840668628312,,38,,,,,,,,,71.95,0.19,0.54,13.62,1.58,2.5,4.51,0.89,2.29,,,0.06,1.04,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
40,Litherland et al. (1994): Ecuador,Sh14K,Tres Lagunas,Granitoid,,,151,259,22,,16,,31,105,23,,104,,343,,,,5933.554122581858,,62,,,,,,,,,68.49,0.28,0.99,14.24,2.84,3.56,2.53,1.89,2.74,,,0.09,1.25,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
41,Litherland et al. (1994): Ecuador,JR385,Tres Lagunas,Granitoid,,,113,595,10,,7,,18,51,9,,187,,142,,,,2157.6560445752207,,26,,,,,,,,,72.23,0.13,0.36,14.36,2.29,3.19,3.6,2.39,na,,,0.03,0.77,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
42,Litherland et al. (1994): Ecuador,JR386,Tres Lagunas,Granitoid,,,113,669,10,,7,,16,44,9,,184,,136,,,,1857.9815939397733,,24,,,,,,,,,73.04,0.14,0.31,14.07,2.08,3.07,3.8,2.12,na,,,0.02,0.66,,,,,,,,,232.28000000000003,-78.41944444444444,-1.5822916666666667
43,Litherland et al. (1994): Ecuador,JR111,Moromoro,Granitoid,,,101,565,9,,7,,16,40,30,,184,,117,,,,2217.5909347023103,,20,,,,,,,,,73.08,0.11,0.37,14.42,1.62,2.92,3.22,,,2.58,,0.05,0.96,,,,,,,,,232.6,-79.85194444444444,-3.7044444444444444
44,Litherland et al. (1994): Ecuador,JR280A,Moromoro,Granitoid,,,92,759,6,,13,,12,36,12,,129,,187,,,,4435.181869404621,,23,,,,,,,,,73.56,0.23,0.74,11.13,1.6,1.82,2.38,,,5.4,,0.12,2.14,,,,,,,,,232.6,-79.85194444444444,-3.7044444444444444
