,sample,south,west,we  dist,lithology,unit,map unit,unit details,map nomenclature,cycle,rock type by map,age,unnamed: 0,wtkg,sio2,tio2,ti_ppm,al2o3,al_ppm,fe2o3,fe_ppm,mno,mn_ppm,mgo,mg_ppm,cao,ca_ppm,na2o,k2o,k_ppm,unnamed: 19,cr2o3,cr_ppm,p2o5,p_ppm,rb_ppm,cs_ppm,sr_ppm,sr.1,ba_ppm,ba.1,th_ppm,u_ppm,zr_ppm,zr.1,hf_ppm,nb_ppm,nb.1,y_ppm,y.1,cu_ppm,zn_ppm,zn.1,li_ppm,cd_ppm,ga_ppm,ge_ppm,mo_ppm,sb_ppm,sn_ppm,w_ppm,ta_ppm,pb_ppm,co_ppm,ni_ppm,loi,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,sc_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,be_ppm,v_ppm,ag_ppm,as_ppm,bi_ppm,in,tl_ppm,longitude,latitude
0,10714H,13.95362,75.67537,1.2576531053835844,Grdt,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.42,56.6,0.66,0.39,15.9,8.34,7.31,5.26,0.12,1010,2.42,1.49,5.37,4,3.7,2.75,2.4,,<0.01,90,0.14,0.08,120,6.8,290,307,800,850,15.4,3.98,180,189,4,5,4,30,27.1,84,52,45,20,0.8,19,2,4,1.9,3,3,0.25,20,19.4,6,0.55,22.3,47.1,6.13,25.2,5.1,20,1.01,4.7,0.81,4.5,0.93,2.73,0.43,2.7,0.46,2.5,156,0.5,6,0.05,0.1,0.25,-75.67537,-13.95362
1,10714J,13.92279,75.6786,3.4380999402606127,Grt,Linga Auquish,Linga Auquish,Linga Auquish monzogranite,K-mgr-a,105-96,Granodiorite,103.0,Linga Auquish,0.31,65,0.51,0.3,14.1,7.42,4.52,3.25,0.08,630,1.06,0.62,3,2.2,3.3,3.98,3.4,,0.02,140,0.09,0.06,204,12.5,200,202,970,962,36.4,6.92,260,216,11,5,5,40,36.2,35,42,35,10,0.3,17,2,4,3,4,2,0.25,15,9.1,2.5,0.53,28.7,59.9,7.75,31,6.3,11,0.81,5.89,0.99,5.87,1.27,3.71,0.55,3.8,0.58,2.5,65,0.5,7,0.05,0.1,0.7,-75.6786,-13.92279
2,10714K,13.87099,75.63913,10.418298337776385,Qzmzd  ,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.47,52.5,0.88,0.53,17.6,9.16,9.31,6.59,0.15,1210,3.34,1.96,7.2,5.2,3.6,1.18,1.1,,<0.01,60,0.23,0.12,33.3,1.9,400,395,800,825,2,0.69,50,63.3,2,5,2,20,24.5,13,65,56,5,0.8,21,2,1,0.6,2,1,0.25,7,22.1,2.5,1.42,14.7,31.1,4.33,19,4.4,26,1.21,4.16,0.7,4.11,0.86,2.47,0.36,2.4,0.38,2.5,231,0.5,2.5,0.05,0.1,0.25,-75.63913,-13.87099
3,10714M,13.8371,75.59167,16.584107522024627,Mzd,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Monzodiorite,98.0,Pampahuasi,0.46,54.2,0.86,0.51,17.8,9.22,8.12,5.73,0.18,1400,2.57,1.55,6.32,4.6,3.9,2.81,2.4,,<0.01,170,0.36,0.18,131,8.2,460,469,1100,1080,18,4.17,270,259,7,10,8,30,30.3,26,86,73,5,0.4,21,2,2,0.4,3,2,0.25,12,16.7,2.5,0.59,37.8,78.1,10,41.7,8.1,14,1.7,6.51,1.05,5.63,1.17,3.21,0.46,3.1,0.49,2.5,127,0.5,2.5,0.05,0.1,0.5,-75.59167,-13.8371
4,10714P,13.83987,75.56205,18.55386411075831,Ton,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Tonalite-Diorite,92.0,Pampahuasi,0.33,56.3,0.75,0.45,15.5,8.34,7.87,5.55,0.16,1240,2.68,1.63,5.72,4.3,3.7,1.76,1.5,,<0.01,80,0.16,0.09,52.7,2.7,310,329,860,853,9.9,1.83,150,125,7,5,5,40,37.2,23,73,64,10,0.3,20,2,1,0.7,2,1,0.25,11,17.6,2.5,0.51,27.9,56.6,7.32,29.5,6.6,24,1.3,6.21,1.01,6.16,1.32,4.01,0.6,3.9,0.62,2.5,161,0.5,2.5,0.05,0.1,0.25,-75.56205,-13.83987
5,10714Q,13.81248,75.51926,23.86518563534242,Grdt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,80.0,Tiabaya,0.2,65.3,0.48,0.27,16,8.25,4.2,2.85,0.08,630,1.51,0.9,4.13,2.9,4,2.84,2.4,,0.03,190,0.13,0.07,81.5,2.5,570,573,990,948,8.4,2.34,100,75.9,2,5,4,5,8.1,26,90,73,10,0.1,19,2,6,0.6,1,2,0.25,12,10.5,9,0.63,19.8,37.1,4.21,15,2.3,2.5,0.59,1.76,0.25,1.48,0.28,0.77,0.12,0.8,0.13,2.5,85,0.5,2.5,0.05,0.1,0.25,-75.51926,-13.81248
6,10715B,13.73208,75.92461,0.23501681095833318,Gab,Old Gabbro,Old Gabbro,Linga monzogabbro Humay,K-mgb-h,105--96,Monzogabbro,105.0,Old Gabbro,0.27,47.8,0.56,0.34,20.4,11,7.95,5.72,0.13,1010,5.96,3.57,10.4,7.7,2.9,0.17,0.2,,0.01,130,0.01,0.02,2.6,0.2,810,844,100,113,0.3,0.06,10,10.1,0.5,5,0.5,5,4.5,16,57,55,5,0.2,23,1,1,0.2,0.5,1,0.25,10,30.8,27,0.58,3.4,5.9,0.9,4,0.9,20,0.72,0.95,0.14,0.93,0.17,0.51,0.07,0.5,0.1,2.5,257,0.5,2.5,0.05,0.1,0.25,-75.92461,-13.73208
7,10715C,13.71041,75.84041,8.159531954556392,Qzmzn,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.31,65.1,0.44,0.26,14.5,7.47,4.1,2.79,0.06,510,0.74,0.43,2.35,1.7,3.1,5.34,4.6,,0.01,100,0.09,0.05,146,0.9,200,212,1930,1830,22.2,6.24,340,296,9,5,6,30,30.1,96,41,33,5,0.4,18,2,4,1.3,1,2,0.25,9,9.4,2.5,1.92,40.3,69.7,7.97,28.9,5.4,8,0.76,4.88,0.85,4.81,1.04,3.14,0.49,3.2,0.52,2.5,31,0.5,2.5,0.05,0.1,0.25,-75.84041,-13.71041
8,10715D,13.66571,75.77123,16.78423059650024,Mzd,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzodiorite,103.0,Linga Auquish,0.6,57.4,0.85,0.5,17.7,9.18,5.05,3.41,0.09,670,3.13,1.89,7,4.9,5.9,0.47,0.5,,0.02,40,0.01,0.02,11.4,0.5,410,406,420,431,8.1,1.93,120,118,3,5,4,30,25.1,7,43,29,5,0.3,20,2,1,0.9,4,1,0.25,8,8.5,2.5,1.23,16.3,45,6.54,26.5,5.5,25,1.57,4.74,0.73,4.17,0.94,2.56,0.41,2.7,0.42,2.5,77,0.5,2.5,0.05,0.1,0.25,-75.77123,-13.66571
9,10715E,13.66048,75.76123,17.934303262622745,Mzd,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Monzodiorite,98.0,Pampahuasi,0.58,59.3,0.72,0.42,16.2,8.34,6.9,4.79,0.13,970,2.15,1.33,5.2,3.7,3.9,2.99,2.5,,<0.01,100,0.12,0.07,88.3,1.6,290,294,1190,1170,14,4.35,250,267,7,5,5,30,25.2,38,38,25,10,0.1,19,2,4,0.7,3,1,0.25,7,15.7,5,0.48,24.4,47.5,5.92,23.6,4.8,17,1.02,4.29,0.71,4.05,0.91,2.65,0.4,2.9,0.41,2.5,139,0.5,2.5,0.05,0.1,0.25,-75.76123,-13.66048
10,10715F,13.63994,75.72009,22.589227731712406,Ton,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,80.0,Tiabaya,0.48,66.1,0.25,0.15,15.9,8.13,4.06,2.82,0.12,910,0.8,0.49,3.34,2.4,4.5,1.97,1.7,,0.02,130,0.12,0.07,43.1,2.3,410,416,1080,1060,4.7,1.23,130,136,4,5,3,10,12.3,2.5,70,55,20,0.3,19,2,4,0.3,2,2,0.25,20,4.5,2.5,0.63,20.1,37,4.58,16.9,2.8,2.5,0.93,2.28,0.38,1.94,0.4,1.29,0.19,1.3,0.23,2.5,19,0.5,2.5,0.05,0.1,0.25,-75.72009,-13.63994
11,10715I,13.5949,75.58416,36.17647747170275,Gab-Cum,Tiabaya,Tiabaya,Tiabaya,K-gb,85-78,Gabbro,85.0,Tiabaya,0.27,47.8,0.76,0.45,18.2,9.56,10.9,7.85,0.22,1780,4.65,2.83,8.43,6.3,3.3,0.61,0.6,,<0.01,60,0.48,0.25,16.5,1.2,690,714,370,393,4.2,1.09,30,47,2,5,2,20,16.6,75,85,80,10,0.1,22,2,6,0.3,0.5,2,0.25,11,27.3,9,0.71,27.6,53.7,6.39,25.7,4.7,16,1.18,3.76,0.55,3.02,0.65,1.74,0.23,1.5,0.24,2.5,230,0.5,2.5,0.05,0.1,0.25,-75.58416,-13.5949
12,10715L,13.61453,75.42432,46.44194192775599,Qzmzd,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.31,55.5,0.81,0.5,17.9,8.96,7.6,5.55,0.13,1090,2.9,1.84,6.2,4.6,3.8,2.52,2.1,,<0.01,90,0.16,0.11,89,5.9,410,438,600,628,8.4,2.44,190,173,7,5,6,20,23.6,74,63,57,20,0.1,21,2,4,1.1,3,2,0.25,13,19.6,10,0.45,21.7,44.4,5.59,22.2,4.7,18,1.19,4.09,0.67,4.05,0.86,2.58,0.37,2.4,0.39,2.5,169,0.5,7,0.05,0.1,0.25,-75.42432,-13.61453
13,10715M,13.60759,75.34368,52.9451943059059,Qzmzn,Incahuasi ,Incahuasi ,Incahuasi ,Ks - in/gd ,68-59,Granodiorite,66.0,Incahuasi ,0.62,62.8,0.69,0.4,16.6,8.36,5.46,3.75,0.1,730,1.77,1.05,4.04,2.9,3.9,3.82,3.2,,0.02,90,0.14,0.08,177,12.9,330,329,700,703,21.3,4.63,230,218,8,10,10,20,24.6,56,53,45,20,0.1,19,2,3,1.8,3,5,0.5,45,12.6,7,0.41,26.8,54.4,6.6,25.5,4.9,12,0.97,4.11,0.67,3.78,0.85,2.57,0.37,2.5,0.39,2.5,101,0.5,11,0.05,0.1,0.6,-75.34368,-13.60759
14,10715O,13.55172,75.52197,44.169954858714775,Trch-And,Bella Union,Bella Union,Bella Union,Ks-bu,,Trachy-Andesite,,Bella Union,0.19,55,1.05,0.62,17.3,8.84,7.4,5.09,0.13,990,4.2,2.5,3.74,2.8,7.2,0.83,0.8,,0.02,100,0.45,0.22,21.5,1,560,551,370,378,17.6,4.37,210,202,5,10,10,30,28,76,91,81,30,0.1,15,2,3,1.6,2,2,0.25,19,13.2,12,1.78,40.4,80.7,10.6,43.4,9,25,2.16,6.45,0.9,4.77,0.96,2.61,0.38,2.3,0.41,2.5,438,0.5,9,0.05,0.1,0.25,-75.52197,-13.55172
15,10716J,14.61968,75.58145,-43.948361174030104,Gneiss,Precambrian,Precambrian,Precambrian,Pc-Gns,1500,Gneiss,1500.0,Precambrian,0.22,59.3,1.29,0.78,14.8,7.68,7.66,5.5,0.12,920,2.65,1.64,3.63,2.7,2.6,2.41,2.1,,0.02,140,0.29,0.15,105,1,290,289,590,614,12.8,0.82,290,251,7,20,16,30,30.9,46,80,85,5,0.1,20,2,1,0.3,2,1,0.6,13,23.3,41,1.32,47.6,98.7,11.7,45.5,8.5,15,2.12,7.13,1.11,5.65,1.15,3.16,0.41,2.5,0.46,2.5,121,0.5,2.5,0.05,0.1,0.25,-75.58145,-14.61968
16,10718C,14.41117,75.64642,-32.44379986952652,Pz-Grdt,Paleozoic San Nicolas,Paleozoic San Nicolas,Paleozoic San Nicolas,Pz-Grdt,300-500,Granodiorite,300.0,Paleozoic San Nicolas,0.41,56.9,0.99,0.59,15,7.78,7.59,5.43,0.12,940,3.42,2.08,5.49,4.1,3,2.78,2.4,,0.02,110,0.16,0.09,113,1.9,210,223,520,529,12,2.76,170,192,6,5,7,30,29.2,69,58,74,5,0.5,17,2,3,1.1,2,2,0.25,16,23,28,1.44,20.8,43,5.08,19.9,4.3,21,0.94,4.71,0.76,4.62,1.04,3.05,0.44,2.7,0.46,2.5,201,0.5,9,0.05,0.1,0.25,-75.64642,-14.41117
17,10718H,14.67674,75.57224,-47.72456238416847,Gneiss,Precambrian,Precambrian,Precambrian,Pc-Gns,1500,Gneiss,1500.0,Precambrian,0.31,49.2,1.61,0.98,16.1,8.14,12,8.58,0.2,1540,4.24,2.5,8.59,6.3,3.8,1.04,0.9,,<0.01,80,0.28,0.15,26.2,0.6,400,408,330,338,2.2,0.57,110,117,3,5,3,30,30.1,207,88,90,10,0.5,21,2,1,0.6,2,1,0.25,10,31.3,17,1.9,13.1,28.8,4.12,19.8,4.8,37,1.56,5.29,0.86,5.33,1.12,3.14,0.48,3,0.5,2.5,390,0.5,6,0.05,0.1,0.25,-75.57224,-14.67674
18,10718K,14.70623,75.59009,-51.341030924993525,Gneiss,Precambrian,Precambrian,Precambrian,Pc-Gns,1500,Gneiss,1500.0,Precambrian,0.4,55.8,0.75,0.43,17.7,8.84,8.23,5.68,0.19,1420,3.45,2.07,6.46,4.7,2.6,2.2,1.9,,0.03,80,0.16,0.09,64.1,1.1,480,476,960,963,7.4,0.87,150,152,4,5,7,30,26.1,51,84,80,10,0.1,20,2,1,1,1,0.5,0.25,17,23.8,10,1.95,32.6,63.4,7.69,29.4,5.8,23,1.33,5.09,0.79,4.34,0.93,2.59,0.41,2.4,0.42,2.5,177,0.5,2.5,0.05,0.1,0.25,-75.59009,-14.70623
19,10718N,14.43697,75.63412,-33.554219823793886,Dct,Guaneros porphyry,Guaneros,Guaneros porphyry,Js-g,Host rock,Dacite,170.0,Guaneros porphyry,0.29,66.3,0.56,0.34,15.9,8.22,3.35,2.28,0.03,210,2.01,1.16,1.14,0.9,5.7,1.3,1.1,,0.03,50,0.16,0.08,54.8,2.5,150,150,60,72.4,13.4,2.25,290,277,7,10,12,20,22.2,6,27,36,90,0.1,17,1,3,1.3,3,8,0.5,6,5.8,10,3.28,24.2,53.8,6.27,22.5,4.1,8,0.65,3.76,0.64,3.85,0.81,2.46,0.37,2.5,0.4,2.5,60,0.5,14,0.05,0.1,0.25,-75.63412,-14.43697
20,10719CC,13.97285,75.3629,22.812937978341054,Gab-Cum,Tiabaya,Tiabaya,Tiabaya,K-gb,85-78,Gabbro,85.0,Tiabaya,0.33,49.6,0.97,0.59,20.2,10.5,9.75,6.73,0.17,1310,4.75,2.82,10.1,7.1,2.6,0.48,0.5,,0.01,60,0.11,0.06,11.6,1.1,520,538,250,254,2,0.57,60,57,1,5,2,10,13.1,13,70,61,5,0.1,20,2,1,0.4,0.5,0.5,0.25,5,28.1,13,1.05,10,20.1,2.62,11.2,2.7,20,0.91,2.41,0.41,2.41,0.47,1.31,0.2,1.3,0.2,2.5,259,0.5,2.5,0.05,0.1,0.25,-75.3629,-13.97285
21,10719N,14.20803,75.42407,-0.1457972848928449,Ton,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Tonalite-Diorite,98.0,Pampahuasi,0.56,59.3,0.74,0.43,17.3,8.89,4.88,3.32,0.04,320,2.37,1.45,7.39,5.2,4.7,0.78,0.7,,0.02,60,0.2,0.1,21.9,0.5,460,464,400,397,10.3,1.49,170,170,4,5,3,30,26.3,6,14,9,10,0.6,18,2,1,2.4,3,1,0.25,12,5.9,5,1.02,8.9,21,3.48,16.6,4.3,19,1.47,4.63,0.71,4.73,0.94,2.72,0.4,2.7,0.41,2.5,120,0.5,2.5,0.05,0.1,0.25,-75.42407,-14.20803
22,10719Q,14.1801,75.38313,5.062566887821379,Ton,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Tonalite-Diorite,98.0,Pampahuasi,0.27,55.6,0.77,0.46,16.6,8.64,8.21,5.85,0.15,1160,2.68,1.65,6.02,4.4,3.4,2.51,2.2,,0.02,70,0.15,0.08,132,9.7,320,341,690,706,17.6,6.5,270,287,8,5,5,30,28.4,175,69,60,20,0.4,19,2,4,2.9,3,2,0.25,14,20.2,2.5,0.21,24.2,50.1,6.37,26.3,5.5,21,1.04,5.08,0.81,4.88,1.03,2.96,0.44,2.9,0.5,2.5,170,0.5,11,0.05,0.1,0.25,-75.38313,-14.1801
23,10719R,14.1734,75.36102,7.218441503675553,Grdt,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Tonalite-Diorite,98.0,Pampahuasi,0.21,58.4,0.74,0.44,16,8.34,6.66,4.63,0.14,1090,2.13,1.29,5.41,3.9,3.8,2.49,2.2,,0.02,90,0.23,0.11,84,3.6,400,412,1040,1010,11,2.73,140,140,4,5,4,20,25,22,69,71,20,0.1,20,2,1,0.4,3,0.5,0.25,11,13.9,2.5,0.58,24.4,49.4,6.41,26,5.4,15,1.25,4.8,0.77,4.15,0.9,2.55,0.4,2.5,0.43,2.5,138,0.5,2.5,0.05,0.1,0.8,-75.36102,-14.1734
24,10719Z,14.06247,75.42757,11.008138221650364,Grdt,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Tonalite-Diorite,98.0,Pampahuasi,0.3,59,0.65,0.4,15.8,8.36,6.82,4.93,0.14,1090,2.1,1.32,5.35,3.9,3.5,2.14,1.9,,0.01,90,0.18,0.09,106,9.6,380,396,810,801,17.7,5.58,220,205,6,5,4,20,23.9,33,62,77,20,0.1,18,2,5,1.2,3,1,0.25,13,14.5,6,0.72,20.5,42.8,5.55,21.8,4.6,15,1.04,3.97,0.67,4.34,0.86,2.49,0.36,2.4,0.4,2.5,105,0.5,9,0.05,0.1,0.25,-75.42757,-14.06247
25,10720O,14.02803,75.62737,-1.035332716457491,Mzd,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.53,55.1,0.72,0.45,15.9,8.49,7.76,5.6,0.11,880,2.56,1.58,6.15,4.6,3.5,2.43,2.2,,0.01,60,0.18,0.1,57.1,1.6,350,379,1010,1010,11.9,2.87,140,148,4,5,5,30,29,6,30,21,5,0.1,19,2,1,0.9,0.5,0.5,0.25,12,17.5,6,0.95,19,45.1,6.15,26.9,5.7,22,0.98,5.01,0.84,5.02,1.03,2.93,0.45,2.8,0.46,2.5,164,0.5,2.5,0.05,0.1,0.25,-75.62737,-14.02803
26,10720T,13.78103,75.50333,27.512725044284128,Grdt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,90.0,Tiabaya,0.31,62.4,0.44,0.25,17.1,8.9,3.72,2.62,0.09,670,1.16,0.69,4.5,3.3,4.3,2.05,1.8,,0.02,90,0.16,0.08,53.8,3.4,640,659,950,927,3.1,1.16,90,86.3,2,5,4,5,7.1,113,34,39,5,0.2,22,1,1,0.4,1,8,0.25,11,6.3,5,0.75,16.5,31.9,3.83,14.5,2.6,2.5,0.74,1.81,0.24,1.36,0.22,0.71,0.12,0.7,0.17,2.5,59,0.5,2.5,0.05,0.1,0.25,-75.50333,-13.78103
27,10720U,13.75882,75.48713,30.454646565197475,Grdt,Tiabaya,Tiabaya,Tiabaya tonalite,K-to-t,85-78,Granodiorite,80.0,Tiabaya,0.26,64.4,0.45,0.27,15.5,8.25,3.91,2.67,0.08,570,1.58,0.9,4.16,3.1,3.9,2.97,2.5,,0.02,120,0.13,0.07,83.7,3.7,600,565,890,920,8.4,2.53,80,72.7,2,5,3,5,6.6,41,33,45,10,0.1,20,1,3,0.4,0.5,0.5,0.25,13,10.1,9,0.56,17.3,29,3.17,11.7,2.1,5,0.62,1.65,0.24,1.21,0.23,0.66,0.11,0.7,0.17,2.5,81,0.5,2.5,0.05,0.1,0.25,-75.48713,-13.75882
28,10720V,13.75105,75.48374,31.31575093301151,Grdt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,80.0,Tiabaya,0.24,64.5,0.38,0.22,15.9,8.2,3.39,2.32,0.08,650,1.06,0.63,4,2.9,3.9,2.73,2.3,,0.02,140,0.14,0.07,53.3,1.6,570,585,960,910,5.2,1.5,70,77.9,2,5,4,5,7.8,62,90,91,5,0.2,20,2,5,0.4,0.5,0.5,0.25,29,6.5,2.5,0.85,19,33.6,3.74,13.9,2.6,2.5,0.65,1.86,0.26,1.52,0.25,0.71,0.11,0.8,0.17,2.5,55,0.5,2.5,0.05,0.1,0.25,-75.48374,-13.75105
29,10721D,13.84141,75.65395,11.646260134920789,Qzmzd,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.34,63.6,0.65,0.37,14,7.26,5.44,3.76,0.09,670,1.1,0.65,3.39,2.4,3.2,4.17,3.6,,0.01,100,0.15,0.08,228,12.5,200,206,1140,1110,36,6.28,350,336,9,5,6,40,43.7,42,44,39,5,0.1,18,2,3,1.7,4,2,0.25,14,9,2.5,0.49,39.1,80.6,10.2,39,8.6,12,1.11,7.16,1.2,7,1.48,4.56,0.66,4.4,0.67,2.5,68,0.5,5,0.05,0.1,0.7,-75.65395,-13.84141
30,10721K,13.78687,75.78779,6.042570905800928,Grt,Linga Auquish,Linga Auquish,Linga Auquish monzogranite,K-mgr-a,105-96,Monzonite,103.0,Linga Auquish,0.38,61.7,0.53,0.32,14.7,7.56,5.06,3.6,0.06,530,1.5,0.9,3.27,2.4,3.6,4.02,3.5,,0.01,100,0.11,0.06,147,2.7,170,181,1310,1280,24.4,7.21,360,393,10,10,8,40,40.6,63,27,18,5,0.5,18,2,3,1,3,1,0.25,7,9.9,2.5,1.08,36.7,78.2,9.79,37.6,7.7,13,0.82,6.47,1.06,6.65,1.44,4.26,0.66,4.3,0.72,2.5,64,0.5,2.5,0.05,0.1,0.25,-75.78779,-13.78687
31,10721M,13.75416,75.74976,11.42111773739748,Qzmzd,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.3,57.3,0.61,0.37,15.2,8.09,7.55,5.42,0.14,1080,2.7,1.63,5.5,4.2,3.6,2.54,2.2,,0.02,90,0.12,0.07,73.5,1.8,310,301,950,1020,13.6,3.42,180,187,5,5,5,30,31.6,70,53,57,5,0.3,20,2,1,1.7,2,1,0.25,11,18.1,8,1.12,26,51.3,6.7,26.8,5.7,21,1.18,5.41,0.9,5.27,1.12,3.34,0.5,3.1,0.53,2.5,158,0.5,2.5,0.1,0.1,0.25,-75.74976,-13.75416
32,10721N,13.74292,75.74279,12.8190025141449,Dct,Quilmana group,Quilmana,Quilmana group,Kis-q,114,Dacite,114.0,Quilmana group,0.26,67.6,0.6,0.35,14.1,7.33,4.5,3.17,0.08,600,1.81,1.06,3.17,2.4,3.9,1.47,1.3,,0.02,140,0.14,0.08,42.1,0.8,260,250,590,635,11.3,3.39,300,274,7,5,6,40,35.1,8,32,48,5,0.2,19,1,3,1.9,3,0.5,0.25,7,6.2,2.5,0.69,28.9,59.2,7.8,31.5,6.8,13,1.22,5.94,1.02,6.08,1.23,3.55,0.59,3.9,0.6,2.5,23,0.5,2.5,0.05,0.1,0.25,-75.74279,-13.74292
33,11823G,13.81709,75.52772,22.87829057879981,Grt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,80.0,Tiabaya,0.78,65,0.46,0.27,15.4,7.93,3.73,2.52,0.07,500,1.46,0.86,3.97,2.8,4.1,2.98,2.4,,<0.01,10,0.12,0.06,91.2,2.8,550,502,950,897,9.7,3.26,90,78.1,3,5,5,5,7.8,16,34,31,20,0.1,18,1,2,0.3,0.5,0.5,0.25,13,8.7,14,0.58,20.1,35.9,4.26,15.4,2.6,2.5,0.72,1.93,0.27,1.42,0.27,0.85,0.12,0.8,0.11,2.5,77,0.5,2.5,0.05,0.1,0.25,-75.52772,-13.81709
34,11823H,13.81559,75.52737,23.021975934152508,Grdt,Pampahuasi,Tiabaya?,Pampahuasi diorite-tonalite,Ks-pa/di-to,85-78,Monzodiorite,80.0,Pampahuasi,1.08,59.7,0.75,0.46,16.8,8.5,5.65,3.62,0.1,720,2.23,1.34,5.07,3.6,3.9,3.14,2.5,,<0.01,10,0.16,0.07,118,3.9,540,498,1000,991,11.6,3.1,170,134,4,5,8,20,19.1,77,51,48,5,0.2,20,1,3,0.4,2,1,0.25,13,13.7,14,0.58,25.8,54.8,7.59,30,6,8,1.12,4.94,0.69,3.49,0.67,2.04,0.3,1.9,0.27,2.5,118,0.5,2.5,0.05,0.1,0.25,-75.52737,-13.81559
35,11825A,13.83774,75.56987,18.143690329377307,Qzdt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Monzodiorite,80.0,Tiabaya,0.94,58.2,0.46,0.28,19.9,10.3,5.2,3.62,0.17,1250,1.25,0.79,5.61,4,5.5,1.19,1,,<0.01,5,0.16,0.07,40.4,1.8,590,543,910,884,2.8,1.13,300,289,7,5,3,5,6.6,10,70,66,5,0.1,21,1,1,0.3,0.5,0.5,0.25,9,6.6,8,0.56,19.1,30.8,3.7,13.4,2.2,2.5,1.58,1.66,0.22,1.09,0.19,0.76,0.11,0.9,0.1,2.5,36,0.5,2.5,0.05,0.1,0.25,-75.56987,-13.83774
36,11825G,13.74009,75.47334,32.94539320878587,Grt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,80.0,Tiabaya,1.06,68.4,0.23,0.13,13.9,7.2,2.43,1.69,0.07,510,0.64,0.39,2.28,1.6,3.6,3.37,2.7,,<0.01,5,0.06,0.03,96.5,3,270,243,860,871,15,2.83,110,90.6,3,5,5,5,8.9,2.5,27,25,5,0.1,16,2,1,0.3,0.5,0.5,0.25,19,3.7,9,0.82,24.6,41,4.53,15.8,2.4,2.5,0.58,1.98,0.28,1.53,0.3,0.89,0.13,0.9,0.12,2.5,21,0.5,2.5,0.05,0.1,0.25,-75.47334,-13.74009
37,11826E,13.90717,75.34074,29.606030432361948,Grdt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,80.0,Tiabaya,0.98,70,0.33,0.19,14.1,7.29,2.11,1.44,0.02,130,0.82,0.49,2.63,1.9,4.3,2.43,2,,<0.01,5,0.06,0.03,35.7,1.1,250,225,640,603,10.6,2.56,160,113,4,5,5,20,17.9,5,9,2.5,5,0.1,16,2,1,0.2,2,0.5,0.25,8,2.2,12,1,14.8,35,4.56,17.1,3.3,2.5,0.8,3.18,0.49,2.68,0.56,1.94,0.3,2.1,0.27,2.5,36,0.5,2.5,0.05,0.1,0.25,-75.34074,-13.90717
